,Company ID,Month,Exchange,Commodity Code,Rebates
0,104,2020-01-01,ABCD,GRH,-8562.75
1,104,2020-01-01,ABCD,KMS,-15376.15
2,104,2020-01-01,ABCD,KQI,-4424.6
3,104,2020-01-01,ABCD,MYF,-2725.5
4,104,2020-01-01,ABCD,QEK,-397.8
5,104,2020-01-01,ABCD,TDS,-1413.1
6,104,2020-01-01,ABCD,UFY,-7798.35
7,104,2020-01-01,EFGH,DCS,-1290.3
9,104,2020-01-01,EFGH,WXG,-1445.2
10,104,2020-01-01,EFGH,XSX,-2663.8
12,104,2020-02-01,ABCD,GRH,-6843.2
13,104,2020-02-01,ABCD,KMS,-12091.1
14,104,2020-02-01,ABCD,KQI,-4775.6
15,104,2020-02-01,ABCD,MYF,-1811.25
16,104,2020-02-01,ABCD,QEK,-72.3
17,104,2020-02-01,ABCD,TDS,-1731.0
18,104,2020-02-01,ABCD,UFY,-6255.55
19,104,2020-02-01,EFGH,DCS,-833.25
21,104,2020-02-01,EFGH,WXG,-968.2
22,104,2020-02-01,EFGH,XSX,-1283.6
24,104,2020-03-01,ABCD,GRH,-8204.0
25,104,2020-03-01,ABCD,KMS,-18497.9
26,104,2020-03-01,ABCD,KQI,-7217.6
27,104,2020-03-01,ABCD,MYF,-3478.8
28,104,2020-03-01,ABCD,QEK,-1301.4
29,104,2020-03-01,ABCD,TDS,-2010.2
30,104,2020-03-01,ABCD,UFY,-8437.45
31,104,2020-03-01,EFGH,DCS,-4490.55
33,104,2020-03-01,EFGH,WXG,-1866.7
34,104,2020-03-01,EFGH,XSX,-1585.2
36,104,2020-04-01,ABCD,GRH,-7800.8
37,104,2020-04-01,ABCD,KMS,-11560.85
38,104,2020-04-01,ABCD,KQI,-4468.8
39,104,2020-04-01,ABCD,MYF,-1597.35
40,104,2020-04-01,ABCD,QEK,-377.1
41,104,2020-04-01,ABCD,TDS,-743.9
42,104,2020-04-01,ABCD,UFY,-5241.6
43,104,2020-04-01,EFGH,DCS,-1156.95
45,104,2020-04-01,EFGH,WXG,-661.0
46,104,2020-04-01,EFGH,XSX,-378.0
48,104,2020-05-01,ABCD,GRH,-6989.15
49,104,2020-05-01,ABCD,KMS,-10490.9
50,104,2020-05-01,ABCD,KQI,-3338.4
51,104,2020-05-01,ABCD,MYF,-1853.1
53,104,2020-05-01,ABCD,TDS,-944.1
54,104,2020-05-01,ABCD,UFY,-6836.55
55,104,2020-05-01,EFGH,DCS,-954.75
57,104,2020-05-01,EFGH,WXG,-401.3
58,104,2020-05-01,EFGH,XSX,-1109.0
60,104,2020-06-01,ABCD,GRH,-9816.1
61,104,2020-06-01,ABCD,KMS,-15266.4
62,104,2020-06-01,ABCD,KQI,-5016.2
63,104,2020-06-01,ABCD,MYF,-2131.95
64,104,2020-06-01,ABCD,QEK,-261.9
65,104,2020-06-01,ABCD,TDS,-1216.6
66,104,2020-06-01,ABCD,UFY,-6941.2
67,104,2020-06-01,EFGH,DCS,-2044.5
69,104,2020-06-01,EFGH,WXG,-1554.9
70,104,2020-06-01,EFGH,XSX,-1672.0
72,104,2020-07-01,ABCD,GRH,-6583.5
73,104,2020-07-01,ABCD,KMS,-11018.55
74,104,2020-07-01,ABCD,KQI,-4326.8
75,104,2020-07-01,ABCD,MYF,-2476.2
77,104,2020-07-01,ABCD,TDS,-1157.5
78,104,2020-07-01,ABCD,UFY,-5863.9
79,104,2020-07-01,EFGH,DCS,-803.85
81,104,2020-07-01,EFGH,WXG,-522.8
82,104,2020-07-01,EFGH,XSX,-85.4
84,104,2020-08-01,ABCD,GRH,-6018.6
85,104,2020-08-01,ABCD,KMS,-12038.8
86,104,2020-08-01,ABCD,KQI,-4624.6
87,104,2020-08-01,ABCD,MYF,-1862.55
89,104,2020-08-01,ABCD,TDS,-916.1
90,104,2020-08-01,ABCD,UFY,-5876.85
91,104,2020-08-01,EFGH,DCS,-1122.0
93,104,2020-08-01,EFGH,WXG,-663.8
94,104,2020-08-01,EFGH,XSX,-980.0
96,104,2020-09-01,ABCD,GRH,-7560.0
97,104,2020-09-01,ABCD,KMS,-11897.9
